YEAR,PID,OC,g1,sla_random,wd_random,sla_ocp,wd_ocp,g1_ocp
1979,2934,0.015945840403303647,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005526231097679376,0.005926356036664071,0.17986500050744492
1980,2934,0.003549024276729575,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00012299589001542172,0.0013190136684364468,0.040032085935254154
1981,2934,0.009642455989723565,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000334171412736423,0.0035836698359985276,0.10876443684494201
1982,2934,0.01081127477074548,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003746782943548845,0.004018067526147268,0.1219484136893398
1983,2934,0.006459496584319783,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00022386196021519246,0.002400706115706727,0.07286146901205708
1984,2934,0.009286757967248352,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00032184425139860897,0.0034514727821330746,0.10475225414557507
1985,2934,0.013078710860753129,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00045325913748187806,0.0048607721575684385,0.14752451273240624
1986,2934,0.022473054618870152,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0007788319094735045,0.008352229768663035,0.2534903070765386
1987,2934,0.010796292577832614,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00037415906765818834,0.004012499314804,0.12177941838600558
1988,2934,0.010029721463112469,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00034759258369995466,0.0037275991001804523,0.11313269231507578
1989,2934,0.012419136263446902,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004304007521056024,0.004615637765306103,0.14008468000621116
1990,2934,0.0132176610930044,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00045807463215055455,0.004912413747279043,0.1490918358061532
1991,2934,0.016168422375117782,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000560336967321455,0.006009079805305327,0.18237566820891038
1992,2934,0.01844493584393836,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0006392323984025023,0.006855158092637034,0.20805415776282474
1993,2934,0.008506225655416802,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0002947939246344364,0.003161383814663168,0.09594804934276185
1994,2934,0.013930715583021787,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00048278643032117715,0.005177424224902378,0.1571349080409814
1995,2934,0.016949914727826528,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005874205655069915,0.006299525577051717,0.19119070202722208
1996,2934,0.007601219363076435,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00026342979587211233,0.0028250334331104267,0.08573980988256279
1997,2934,0.009668130143377562,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003350611827500494,0.003593211771176938,0.10905403473023426
1998,2934,0.008647139884926531,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0002996774840927442,0.0032137553343564063,0.09753752580315729
1999,2934,0.023168159120958886,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0008029216282868438,0.008610569038207743,0.2613309080394715
2000,2934,0.011729783901381474,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00040651038092318764,0.00435943630906497,0.132308961711237
2001,2934,0.015609418058681076,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000540963971235344,0.005801322890558482,0.17607024252317974
2002,2934,0.01306926501527175,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00045293177985303675,0.0048572615590691355,0.1474179660117988
2003,2934,0.014271101537217884,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004945829327175138,0.005303930467497642,0.16097437452727106
2004,2934,0.011977380989168052,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004150911687124443,0.004451457078039958,0.13510179352154084
2005,2934,0.01444384886877321,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005005697082748836,0.00536813292815744,0.16292292023524274
2006,2934,0.01362087906134007,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004720486568454087,0.005062271840693954,0.15364003133834234
2007,2934,0.013479120809369222,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004671358467295388,0.005009586635583012,0.15204103452050205
2008,2934,0.01135523178790628,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00039352980740158563,0.00422023203242621,0.12808410968861653
2009,2934,0.014386543766883985,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004985837280561783,0.00534683518354672,0.16227653334564054
2010,2934,0.01588251341539586,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005504284335323353,0.005902820226222038,0.1791506882840635
2011,2934,0.012576530702738238,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00043585545391506853,0.004674134242245526,0.1418600490169997
2012,2934,0.009675692448185093,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003353232639131648,0.0035960223418093845,0.10913933559388533
2013,2934,0.01667857345781634,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005780168932859685,0.006198680157001744,0.18813004191563826
2014,2934,0.016808318773492526,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005825133800193954,0.006246900690717054,0.1895935358852067
2015,2934,0.01380705195875649,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00047850071223556884,0.0051314639840091755,0.1557400139947183
2016,2934,0.025927741350313224,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000898558413471912,0.009636182388772615,0.2924582896342553
1979,2945,0.009904357836647924,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000424896123096969,0.004853675502572191,0.02797791996973865
1980,2945,0.0056908723647618705,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00024413794863911822,0.0027888378268104016,0.016075627941285257
1981,2945,0.009668385085583556,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00041477291180579557,0.004738035985098606,0.0273113419993942
1982,2945,0.01362913741688454,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0005846888556633573,0.0066790206384456634,0.03849971115696484
1983,2945,0.012166201449218235,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000521929024965348,0.005962102228872444,0.03436719634891015
1984,2945,0.017343175160759762,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0007440207643479579,0.00849910168866514,0.04899115870727849
1985,2945,0.01919751318965969,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0008235717107480847,0.009407828454478935,0.05422930961267467
1986,2945,0.015825325563514542,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0006789051435322966,0.007755272605725669,0.04470352337965595
1987,2945,0.009222922471691571,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00039566260291459284,0.004519735009707852,0.026052995161917794
1988,2945,0.02340892741494266,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0010042410288998384,0.011471651106443829,0.06612575076491232
1989,2945,0.0053028188371373,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00022749048474886098,0.0025986704346601646,0.01497945081209447
1990,2945,0.0101180855185425,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0004340650227806503,0.004958413722953811,0.028581659866659417
1991,2945,0.017610427751587044,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0007554858781496786,0.008630070033558496,0.04974609625307314
1992,2945,0.014561326869898425,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0006246797052580582,0.007135844310052926,0.04113296839011463
1993,2945,0.02080836181143223,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000892676981940396,0.01019723213140583,0.05877964942941226
1994,2945,0.01272176944265954,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0005457628454333961,0.006234360845155626,0.03593656986253007
1995,2945,0.013248377369887859,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0005683542814822345,0.006492427449574016,0.03742413671809213
1996,2945,0.019081378225781702,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000818589530507668,0.009350915988424753,0.053901250511958
1997,2945,0.015125478267040469,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0006488817530272167,0.007412309262270054,0.04272658838046408
1998,2945,0.02090594068790366,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0008968631075825305,0.010245051102621248,0.059055291125893875
1999,2945,0.02129678085202666,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0009136301179455819,0.010436584098632944,0.06015933997117405
2000,2945,0.011558646910853818,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0004958649860666506,0.005664367370341327,0.03265097077104229
2001,2945,0.013949179838926,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0005984186488104518,0.006835858879679104,0.039403769897418
2002,2945,0.02001493859998545,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0008586391925067923,0.009808411486182174,0.05653838033573581
