process,scenario,event_id,event_year,response_start,response_end,response_window_complete,anomaly_pre,t_min,anomaly_min,maximum_deficit,time_to_maximum_deficit,event_specific_incremental_loss,anomaly_end,recovered_amount,event_specific_recovery_fraction,event_specific_recovery_status,half_recovery_target,half_recovery_year,half_recovery_time,half_recovery_status,anomaly_event_year,initial_anomaly_change,initial_event_year_loss
npp,8y,1,1980,1980,1987,TRUE,0,1983,-0.016789298855863735,0.016789298855863735,3,0.016789298855863735,-0.013404158470481438,0.0033851403853822973,0.2016248810890648,Partial recovery,-0.008394649427931868,1984,1,Observed,-0.012168046622996182,-0.012168046622996182,0.012168046622996182
npp,8y,2,1988,1988,1995,TRUE,-0.013404158470481438,1992,-0.033699124266336464,0.033699124266336464,4,0.020294965795855026,-0.02000586223364387,0.013693262032692593,0.6747122498471645,Partial recovery,-0.02355164136840895,1994,2,Observed,-0.016507961126932952,-0.003103802656451514,0.003103802656451514
npp,8y,3,1996,1996,2003,TRUE,-0.02000586223364387,1997,-0.09392057785703072,0.09392057785703072,1,0.07391471562338685,-0.05663590717363786,0.037284670683392855,0.5044282504361807,Partial recovery,-0.05696322004533729,1999,2,Observed,-0.030467972468999748,-0.010462110235355877,0.010462110235355877
npp,8y,4,2004,2004,2011,TRUE,-0.05663590717363786,2010,-0.3256013891642901,0.3256013891642901,6,0.26896548199065223,-0.23904134488793435,0.08656004427635575,0.32182584782148405,Partial recovery,-0.19111864816896398,NA,NA,Not observed before next drought,-0.12737534959932809,-0.07073944242569022,0.07073944242569022
npp,8y,5,2012,2012,2016,FALSE,-0.23904134488793435,2015,-0.569551650482204,0.569551650482204,3,0.33051030559426964,-0.5265843835635368,0.04296726691866726,0.13000280533283384,Partial recovery,-0.4042964976850692,NA,NA,Not observed before simulation end,-0.5588807384791723,-0.3198393935912379,0.3198393935912379
npp,6y,1,1980,1980,1985,TRUE,0,1983,-0.016789298855863735,0.016789298855863735,3,0.016789298855863735,-0.008853363863762146,0.007935934992101589,0.4726781660289482,Partial recovery,-0.008394649427931868,1984,1,Observed,-0.012168046622996182,-0.012168046622996182,0.012168046622996182
npp,6y,2,1986,1986,1991,TRUE,-0.008853363863762146,1987,-0.037970932600193734,0.037970932600193734,1,0.029117568736431586,-0.031266604191724584,0.00670432840846915,0.23025028185408786,Partial recovery,-0.02341214823197794,1988,1,Observed,-0.0208134404793884,-0.011960076615626253,0.011960076615626253
npp,6y,3,1992,1992,1997,TRUE,-0.031266604191724584,1997,-0.09392751090333,0.09392751090333,5,0.06266090671160542,-0.09392751090333,0,0,No recovery,-0.06259705754752729,NA,NA,Not observed before next drought,-0.09330698207047687,-0.06204037787875229,0.06204037787875229
npp,6y,4,1998,1998,2003,TRUE,-0.09392751090333,2003,-0.3355955615689716,0.3355955615689716,5,0.24166805066564157,-0.3355955615689716,0,0,No recovery,-0.2147615362361508,NA,NA,Not observed before next drought,-0.195936142489643,-0.102008631586313,0.102008631586313
npp,6y,5,2004,2004,2009,TRUE,-0.3355955615689716,2004,-0.5198717554746006,0.5198717554746006,0,0.18427619390562905,-0.4713752286224909,0.0484965268521097,0.26317304381132156,Partial recovery,-0.42773365852178613,2008,4,Observed,-0.5198717554746006,-0.18427619390562905,0.18427619390562905
npp,6y,6,2010,2010,2015,TRUE,-0.4713752286224909,2012,-0.6450682481623199,0.6450682481623199,2,0.17369301953982896,-0.6089595279971619,0.03610872016515798,0.20788814807193798,Partial recovery,-0.5582217383924054,2014,2,Observed,-0.5778663449908561,-0.10649111636836517,0.10649111636836517
npp,6y,7,2016,2016,2016,FALSE,-0.6089595279971619,2016,-0.6118666202707583,0.6118666202707583,0,0.0029070922735964233,-0.6118666202707583,0,0,No recovery,-0.6104130741339602,NA,NA,Not observed before simulation end,-0.6118666202707583,-0.0029070922735964233,0.0029070922735964233
