npp_case,target_mean_npp,npp_rate,day,year,npp_daily,leaf,root,sapwood,heartwood,height,storage,total_demand,carbon_allocated,leaf_demand,root_demand,sapwood_demand,delta_leaf,delta_root,delta_sapwood,unmet_storage_deficit,unpaid_carbon_deficit,leaf_turnover,root_turnover,sapwood_turnover,storage_turnover,heartwood_turnover,leaf_root_residual,pipe_model_residual
1,3.5000000000000000,5.0000000000000000,1,0.27397260273972603E-002,0.13698630136986301E-001,1.0002276849940577,1.0002276849940577,4.7399312272146688,20.000284097802076,12.639285006471512,0.51093644388054116,0.26921853736009247E-002,0.26921853736009247E-002,0.91324200913242006E-003,0.91324200913242006E-003,0.86570135533608442E-003,0.91324200913242006E-003,0.91324200913242006E-003,0.86570135533608442E-003,0.0000000000000000,0.0000000000000000,0.68555701507474825E-003,0.68555701507474825E-003,0.64939460572882156E-003,0.70000882844299382E-004,0.36529680365296805E-003,0.0000000000000000,0.22275083719875965E-002
1,3.5000000000000000,5.0000000000000000,2,0.54794520547945206E-002,0.13698630136986301E-001,1.0004554218285717,1.0004554218285717,4.7401501146355596,20.000568220403835,12.639336401621065,0.52186836350970456,0.26952118965733653E-002,0.26952118965733653E-002,0.91344994063384261E-003,0.91344994063384261E-003,0.86831201530567989E-003,0.91344994063384261E-003,0.91344994063384261E-003,0.86831201530567989E-003,0.0000000000000000,0.0000000000000000,0.68571310611965171E-003,0.68571310611965171E-003,0.64942459441506503E-003,0.71498611249445752E-004,0.36530199265391925E-003,0.0000000000000000,0.44549734002785613E-002
1,3.5000000000000000,5.0000000000000000,3,0.82191780821917800E-002,0.13698630136986301E-001,1.0006832105153458,1.0006832105153458,4.7403715828163913,20.000852368158405,12.639388062187832,0.53279575897040377,0.26982389564665704E-002,0.26982389564665704E-002,0.91365791947814771E-003,0.91365791947814771E-003,0.87092311751027496E-003,0.91365791947814771E-003,0.91365791947814771E-003,0.87092311751027496E-003,0.0000000000000000,0.0000000000000000,0.68586923270414380E-003,0.68586923270414380E-003,0.64945493667850282E-003,0.72995719820578687E-004,0.36530718210783266E-003,0.0000000000000000,0.66767829022822411E-002
1,3.5000000000000000,5.0000000000000000,4,0.10958904109589041E-001,0.13698630136986301E-001,1.0009110510661856,1.0009110510661856,4.7405956253688339,20.001136541418028,12.639439987542071,0.54371863682249544,0.27012600754382321E-002,0.27012600754382321E-002,0.91386594567611492E-003,0.91386594567611492E-003,0.87352818408600224E-003,0.91386594567611492E-003,0.91386594567611492E-003,0.87352818408600213E-003,0.0000000000000000,0.0000000000000000,0.68602539483631647E-003,0.68602539483631647E-003,0.64948563164390102E-003,0.74492209456431763E-004,0.36531237202115809E-003,0.0000000000000000,0.88929527046008872E-002
1,3.5000000000000000,4.0962048602351038,5,0.13698630136986301E-001,0.11222479069137271E-001,1.0011389434928999,1.0011389434928999,4.7408222359226109,20.001420740534066,12.639492177055768,0.55216119173866340,0.27042752706925321E-002,0.27042752706925321E-002,0.91407401923852567E-003,0.91407401923852567E-003,0.87612723221548077E-003,0.91407401923852577E-003,0.91407401923852577E-003,0.87612723221548077E-003,0.0000000000000000,0.0000000000000000,0.68618159252426317E-003,0.68618159252426317E-003,0.64951667843849998E-003,0.75648882276841136E-004,0.36531756240032931E-003,0.0000000000000000,0.11103498590221861E-001
1,3.5000000000000000,3.5135613838911222,6,0.16438356164383560E-001,0.96261955723044440E-002,1.0013668878073001,1.0013668878073001,4.7410514081254522,20.001704965857009,12.639544630102638,0.55900351643613688,0.27072845593855968E-002,0.27072845593855968E-002,0.91428214017616428E-003,0.91428214017616428E-003,0.87872027903326821E-003,0.91428214017616428E-003,0.91428214017616428E-003,0.87872027903326811E-003,0.0000000000000000,0.0000000000000000,0.68633782577607954E-003,0.68633782577607954E-003,0.64954807619200606E-003,0.76586315445422240E-004,0.36532275325176376E-003,0.0000000000000000,0.13308436298654414E-001
1,3.5000000000000000,4.5146901821734984,7,0.19178082191780823E-001,0.12369014197735612E-001,1.0015948840212001,1.0015948840212001,4.7412831356430409,20.001989217736462,12.639597346058112,0.56858434373789413,0.27102879586256294E-002,0.27102879586256294E-002,0.91449030849981739E-003,0.91449030849981739E-003,0.88130734162599454E-003,0.91449030849981739E-003,0.91449030849981739E-003,0.88130734162599454E-003,0.0000000000000000,0.0000000000000000,0.68649409459986305E-003,0.68649409459986305E-003,0.64957982403658610E-003,0.77898937352773544E-004,0.36532794458186317E-003,0.0000000000000000,0.15507781526027387E-001
1,3.5000000000000000,3.0083790022716190,8,0.21917808219178082E-001,0.82421342527989570E-002,1.0018229321464167,1.0018229321464167,4.7415174121589665,20.002273496521173,12.639650324299341,0.57403454686241118,0.27132854854730330E-002,0.27132854854730330E-002,0.91469852422027410E-003,0.91469852422027410E-003,0.88388843703248485E-003,0.91469852422027410E-003,0.91469852422027410E-003,0.88388843703248485E-003,0.0000000000000000,0.0000000000000000,0.68665039900371269E-003,0.68665039900371269E-003,0.64961192110685932E-003,0.78645642808934259E-004,0.36533313639701306E-003,0.0000000000000000,0.17701549925206450E-001
1,3.5000000000000000,3.1640116739849193,9,0.24657534246575342E-001,0.86685251342052579E-002,1.0020510321947693,1.0020510321947693,4.7417542313746708,20.002557802559011,12.639703564205185,0.57990734459380744,0.27162771569405487E-002,0.27162771569405487E-002,0.91490678734832580E-003,0.91490678734832580E-003,0.88646358224389685E-003,0.91490678734832570E-003,0.91490678734832570E-003,0.88646358224389685E-003,0.0000000000000000,0.0000000000000000,0.68680673899572950E-003,0.68680673899572950E-003,0.64964436653989187E-003,0.79450245868448749E-004,0.36533832870358311E-003,0.0000000000000000,0.19889757105936212E-001
1,3.5000000000000000,1.3463122450934830,10,0.27397260273972601E-001,0.36885266988862550E-002,1.0022791841780800,1.0022791841780800,4.7419935870093992,20.002842136196978,12.639757065156207,0.58079703616457667,0.27192629899934046E-002,0.27192629899934046E-002,0.91511509789476660E-003,0.91511509789476660E-003,0.88903279420387139E-003,0.91511509789476649E-003,0.91511509789476649E-003,0.88903279420387139E-003,0.0000000000000000,0.0000000000000000,0.68696311458401650E-003,0.68696311458401650E-003,0.64967715947518835E-003,0.79572138123657588E-004,0.36534352150792719E-003,0.0000000000000000,0.22072418634925484E-001
1,3.5000000000000000,1.2899926182337085,11,0.30136986301369864E-001,0.35342263513252286E-002,1.0025073881081736,1.0025073881081736,4.7422354728001537,20.003126497781217,12.639810826534680,0.58152934704592585,0.27222430015494308E-002,0.27222430015494308E-002,0.91532345587039276E-003,0.91532345587039276E-003,0.89159608980864515E-003,0.91532345587039265E-003,0.91532345587039265E-003,0.89159608980864515E-003,0.0000000000000000,0.0000000000000000,0.68711952577667830E-003,0.68711952577667830E-003,0.64971029905468603E-003,0.79672468426623627E-004,0.36534871481638321E-003,0.0000000000000000,0.24249550035985834E-001
1,3.5000000000000000,-0.17281601131235380,12,0.32876712328767120E-001,-0.47346852414343509E-003,1.0027356439968778,1.0027356439968778,4.7424798825016383,20.003410887657004,12.639864847724567,0.57825143793504119,0.27252172084791994E-002,0.27252172084791994E-002,0.91553186128600327E-003,0.91553186128600327E-003,0.89415348590719313E-003,0.91553186128600327E-003,0.91553186128600327E-003,0.89415348590719313E-003,0.0000000000000000,0.0000000000000000,0.68727597258182161E-003,0.68727597258182161E-003,0.64974378442274815E-003,0.79223378262096339E-004,0.36535390863527342E-003,0.0000000000000000,0.26421166790150608E-001
1,3.5000000000000000,0.95383804350693779,13,0.35616438356164383E-001,0.26132549137176378E-002,1.0029639518560227,1.0029639518560227,4.7427268098862134,20.003695306168758,12.639919128111531,0.57805731043934161,0.27281856276061642E-002,0.27281856276061642E-002,0.91574031415239980E-003,0.91574031415239980E-003,0.89670499930136465E-003,0.91574031415239980E-003,0.91574031415239980E-003,0.89670499930136454E-003,0.0000000000000000,0.0000000000000000,0.68743245500755494E-003,0.68743245500755494E-003,0.64977761472615619E-003,0.79196781811116814E-004,0.36535910297090421E-003,0.0000000000000000,0.28587284335769070E-001
1,3.5000000000000000,2.4525851372794323,14,0.38356164383561646E-001,0.67194113350121437E-002,1.0031923116974411,1.0031923116974411,4.7429762487438456,20.003979753660044,12.639973667082922,0.58196584122830475,0.27311482757067882E-002,0.27311482757067882E-002,0.91594881448038611E-003,0.91594881448038611E-003,0.89925064674601610E-003,0.91594881448038611E-003,0.91594881448038611E-003,0.89925064674601610E-003,0.0000000000000000,0.0000000000000000,0.68758897306198834E-003,0.68758897306198834E-003,0.64981178911410406E-003,0.79732270342280424E-004,0.36536429782956642E-003,0.0000000000000000,0.30747918068646740E-001
1,3.5000000000000000,3.1197353636431329,15,0.41095890410958902E-001,0.85472201743647478E-002,1.0034207235329684,1.0034207235329684,4.7432281928820563,20.004264230473566,12.640028464027770,0.58769843856792137,0.27341051695106691E-002,0.27341051695106691E-002,0.91615736228076812E-003,0.91615736228076812E-003,0.90179044494913306E-003,0.91615736228076823E-003,0.91615736228076823E-003,0.90179044494913306E-003,0.0000000000000000,0.0000000000000000,0.68774552675323404E-003,0.68774552675323404E-003,0.64984630673819109E-003,0.80517665237419013E-004,0.36536949321753511E-003,0.0000000000000000,0.32903083342139539E-001
1,3.5000000000000000,3.8853131630757072,16,0.43835616438356165E-001,0.10644693597467690E-001,1.0036491873744433,1.0036491873744433,4.7434826361258757,20.004548736951175,12.640083518336791,0.59552448596628571,0.27370563257006751E-002,0.27370563257006751E-002,0.91636595756435478E-003,0.91636595756435478E-003,0.90432441057196550E-003,0.91636595756435478E-003,0.91636595756435478E-003,0.90432441057196561E-003,0.0000000000000000,0.0000000000000000,0.68790211608940599E-003,0.68790211608940599E-003,0.64988116675241477E-003,0.81589873402697043E-004,0.36537468914106975E-003,0.0000000000000000,0.35052795467290565E-001
1,3.5000000000000000,2.9024533705127507,17,0.46575342465753428E-001,0.79519270425006863E-002,1.0038777032337065,1.0038777032337065,4.7437395723177920,20.004833273433881,12.640138829402373,0.60065411858879836,0.27400017609130931E-002,0.27400017609130931E-002,0.91657460034195743E-003,0.91657460034195743E-003,0.90685256022917814E-003,0.91657460034195743E-003,0.91657460034195743E-003,0.90685256022917814E-003,0.0000000000000000,0.0000000000000000,0.68805874107861998E-003,0.68805874107861998E-003,0.64991636831316507E-003,0.82292659075051144E-004,0.36537988560641414E-003,0.0000000000000000,0.37197069712931352E-001
1,3.5000000000000000,4.3646789568960100,18,0.49315068493150684E-001,0.11958024539441123E-001,1.0041062711226019,1.0041062711226019,4.7439989953177024,20.005117840261839,12.640194396618577,0.60978565791025030,0.27429414917377287E-002,0.27429414917377287E-002,0.91678329062438958E-003,0.91678329062438958E-003,0.90937491048894965E-003,0.91678329062438947E-003,0.91678329062438947E-003,0.90937491048894965E-003,0.0000000000000000,0.0000000000000000,0.68821540172899365E-003,0.68821540172899365E-003,0.64995191057921670E-003,0.83543726251575598E-004,0.36538508261979694E-003,0.0000000000000000,0.39335921305795551E-001
1,3.5000000000000000,3.3602851748256426,19,0.52054794520547946E-001,0.92062607529469660E-002,1.0043348910529757,1.0043348910529757,4.7442608990028639,20.005402437774364,12.640250219381130,0.61616162586229717,0.27458755347180633E-002,0.27458755347180633E-002,0.91699202842246755E-003,0.91699202842246755E-003,0.91189147787312818E-003,0.91699202842246766E-003,0.91699202842246766E-003,0.91189147787312818E-003,0.0000000000000000,0.0000000000000000,0.68837209804864681E-003,0.68837209804864681E-003,0.64998779271172274E-003,0.84417266181983453E-004,0.36539028018743087E-003,0.0000000000000000,0.41469365430650384E-001
1,3.5000000000000000,2.8695671001730370,20,0.54794520547945202E-001,0.78618276717069505E-002,1.0045635630366769,1.0045635630366769,4.7445252772678472,20.005687066309925,12.640306297087424,0.62118954351126543,0.27488039063513778E-002,0.27488039063513778E-002,0.91720081374700973E-003,0.91720081374700973E-003,0.91440227885735857E-003,0.91720081374700973E-003,0.91720081374700973E-003,0.91440227885735846E-003,0.0000000000000000,0.0000000000000000,0.68852883004570046E-003,0.68852883004570046E-003,0.65002401387420834E-003,0.85106116387349690E-004,0.36539547831551357E-003,0.0000000000000000,0.43597417230380131E-001
1,3.5000000000000000,1.1533569903060843,21,0.57534246575342465E-001,0.31598821652221486E-002,1.0047922870855577,1.0047922870855577,4.7447921240244852,20.005971726206145,12.640362629136503,0.62151254868366534,0.27517266230888742E-002,0.27517266230888742E-002,0.91740964660883733E-003,0.91740964660883733E-003,0.91690732987119948E-003,0.91740964660883722E-003,0.91740964660883722E-003,0.91690732987119937E-003,0.0000000000000000,0.0000000000000000,0.68868559772827798E-003,0.68868559772827798E-003,0.65006057323256422E-003,0.85150369733342287E-004,0.36540067701022695E-003,0.0000000000000000,0.45720091806138896E-001
1,3.5000000000000000,2.5572369113377231,22,0.60273972602739728E-001,0.70061285242129399E-002,1.0050210632114720,1.0050210632114720,4.7450614332018288,20.006256417799822,12.640419214929072,0.62567831240606209,0.27546437013358125E-002,0.27546437013358125E-002,0.91761852701877404E-003,0.91761852701877404E-003,0.91940664729826468E-003,0.91761852701877404E-003,0.91761852701877404E-003,0.91940664729826479E-003,0.0000000000000000,0.0000000000000000,0.68884240110450438E-003,0.68884240110450438E-003,0.65009746995503895E-003,0.85721100480348286E-004,0.36540587627773783E-003,0.0000000000000000,0.47837404217430546E-001
1,3.5000000000000000,3.8400923844069279,23,0.63013698630136991E-001,0.10520801053169666E-001,1.0052498914262773,1.0052498914262773,4.7453331987460929,20.006541141426908,12.640476053867477,0.63335478548557433,0.27575551574516351E-002,0.27575551574516351E-002,0.91782745498764562E-003,0.91782745498764562E-003,0.92190024747634402E-003,0.91782745498764572E-003,0.91782745498764572E-003,0.92190024747634412E-003,0.0000000000000000,0.0000000000000000,0.68899924018250662E-003,0.68899924018250662E-003,0.65013470321223369E-003,0.86772816205723304E-004,0.36541107612419771E-003,0.0000000000000000,0.49949369482227723E-001
1,3.5000000000000000,4.9397914503613833,24,0.65753424657534240E-001,0.13533675206469543E-001,1.0054787717418332,1.0054787717418332,4.7456074146206131,20.006825897422530,12.640533145355722,0.64403976297200827,0.27604610077501032E-002,0.27604610077501032E-002,0.91803643052628065E-003,0.91803643052628065E-003,0.92438814669754165E-003,0.91803643052628054E-003,0.91803643052628054E-003,0.92438814669754165E-003,0.0000000000000000,0.0000000000000000,0.68915611497041341E-003,0.68915611497041341E-003,0.65017227217709452E-003,0.88236712285519710E-004,0.36541627655574263E-003,0.0000000000000000,0.52056002577121063E-001
1,3.5000000000000000,4.4972461123169509,25,0.68493150684931503E-001,0.12321222225525893E-001,1.0057077041700024,1.0057077041700024,4.7458840748057964,20.007110686120978,12.640590488799440,0.65350809000794863,0.27633612684994239E-002,0.27633612684994239E-002,0.91824545364550976E-003,0.91824545364550976E-003,0.92687036120840411E-003,0.91824545364550976E-003,0.91824545364550976E-003,0.92687036120840422E-003,0.0000000000000000,0.0000000000000000,0.68931302547635539E-003,0.68931302547635539E-003,0.65021017602490713E-003,0.89533921086169140E-004,0.36542147757849373E-003,0.0000000000000000,0.54157318437374258E-001
