scenario_id,status,fail_day,failure_reason,trait_case,state_case,background_mode,npp_rate,initial_storage,allometric_adjustment_days,max_allocation_fraction,initial_leaf,initial_root,initial_sapwood,initial_heartwood,initial_height,initial_living_carbon,initial_structural_carbon,initial_total_carbon,final_leaf,final_root,final_sapwood,final_heartwood,final_height,final_storage,final_living_carbon,final_structural_carbon,final_total_carbon,net_living_carbon_change,net_total_carbon_change,cumulative_npp,cumulative_positive_npp,cumulative_structural_allocation,cumulative_unmet_storage_deficit,cumulative_leaf_starvation_loss,cumulative_root_starvation_loss,cumulative_sapwood_starvation_loss,cumulative_sapwood_to_heartwood_starvation,cumulative_starvation_carbon_loss,cumulative_unpaid_carbon_deficit,cumulative_leaf_turnover_loss,cumulative_root_turnover_loss,cumulative_sapwood_turnover_loss,cumulative_storage_turnover_loss,cumulative_heartwood_turnover_loss,cumulative_sapwood_to_heartwood_turnover,cumulative_total_sapwood_to_heartwood,cumulative_turnover_carbon_loss,final_leaf_root_residual,final_pipe_residual,final_storage_fraction_total,final_storage_fraction_living,max_storage_fraction_total,max_storage_fraction_living,structural_fraction_of_positive_npp,max_abs_structural_balance_error,max_abs_storage_balance_error,max_abs_whole_plant_balance_error,min_living_pool,min_living_carbon,max_daily_allocation_observed,max_daily_demand_observed,days_with_allocation,days_with_unmet_storage_deficit,days_with_turnover,days_with_storage_above_10pct_living,days_with_storage_above_50pct_living,days_with_storage_above_100pct_living,outcome_class
1,PASS,0,OK,1,1,1,-0.5,0,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,0,0,4.753644830161965,23.77141058141312,13.004303937022904,0,4.753644830161965,28.52505541157508,28.52505541157508,-7.046355169838035,-3.274944588424919,-4.9999999999998375,0,0,4.9999999999998375,0.6109252647007132,0.5257072785895859,1.6666666666667156,1.6666666666667156,1.1366325432902993,3.863367456709848,0.38907473529928543,0.27429272141041217,3.5796885031718584,0,1.4749445884270267,3.5796885031718584,5.246355169838529,2.138312045136716,0,-11.697406897120493,0,0,0,0,0,0,0,7.993172096432133e-15,0,4.753644830161965,0,0.11076109617562628,0,3650,3650,0,0,0,carbon_starvation
2,PASS,0,OK,1,1,1,0,0,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,0.08201471836840013,0.06561177469471983,6.065098865732922,22.506242104109745,13.008521430503247,0,6.212725358796042,28.718967462905788,28.718967462905788,-5.587274641203959,-3.081032537094213,0,0,0,0,0,0,0,0,0,0,0.917985281631601,0.7343882253052789,3.93490113426708,0,1.4286590301572644,3.93490113426708,3.93490113426708,3.0810325370941425,0.016402943673680295,-13.935517730726158,0,0,0,0,0,0,0,8.177703306189167e-15,0.06561177469471983,6.212725358796042,0,0.09370190063744721,0,0,3650,0,0,0,living_biomass_decline
3,PASS,0,OK,1,1,1,0.5,0,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,0.9581690345440298,0.9578072192975935,6.193111330144359,22.53550013788969,13.022811042698915,0,8.109087583985982,30.644587721875673,30.644587721875673,-3.690912416014019,-1.1554122781243272,4.9999999999998375,4.9999999999998375,4.9999999999998375,0,0,0,0,0,0,0,2.412671903829557,2.313444109827597,3.9647964023568902,0,1.4292962644673286,3.9647964023568902,3.9647964023568902,6.155412278124473,3.618152464364144e-4,-3.7198505760238785,0,0,0,0,1,4.336808689942018e-19,0,7.97994482992781e-15,0.8,8.109087583985982,0.00136986301369863,0.0808696379889143,3650,0,3650,0,0,0,living_biomass_decline
4,PASS,0,OK,1,1,1,3.5,0,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,3.557872799934416,3.557872799934416,18.917362085048936,25.613620105019876,14.215896954496255,0,26.033107684917766,51.64672778993764,51.64672778993764,14.233107684917766,19.84672778993764,34.99999999999976,34.99999999999976,34.99999999999981,0,0,0,0,0,0,0,6.839102412400227,6.821285787643531,7.106504115038402,0,1.4928840100184595,7.106504115038402,7.106504115038402,15.153272210062202,0,0.11147031357776882,0,0,0.034945722205248275,0.08109903322800215,1.000000000000001,3.469446951953614e-18,0,1.8461794593083166e-14,0.8,11.8,0.012421559456118189,0.0808696379889143,3650,0,3650,0,0,0,plausible_or_positive_growth
5,PASS,0,OK,1,1,1,8,0,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,4.337695703393523,4.337695703393523,23.47321736841296,26.103743370271033,14.524386321030876,37.44885121490786,32.1486087752,58.25235214547104,95.7012033603789,20.3486087752,63.9012033603789,79.99999999999739,79.99999999999739,42.55114878509447,0,0,0,0,0,0,0,7.306092229754989,7.292284917810359,7.60416286232911,0,1.500419492058064,7.60416286232911,7.60416286232911,16.098796639623455,0,0.33636270564290527,0.39131013926635744,1.1648669302230137,0.39459701702648814,1.2368236115636109,0.5318893598136981,3.469446951953614e-18,0,2.4660828934486286e-14,0.8,11.8,0.017322617547085476,0.0808696379889143,3650,0,3650,3512,3055,2201,excessive_storage
6,PASS,0,OK,1,1,1,-0.5,0.5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,0,0,4.770895479920764,23.76590175112805,13.005374357757956,0,4.770895479920764,28.536797231048816,28.536797231048816,-7.029104520079237,-3.7632027689511816,-4.9999999999998375,0,0.44794520547945216,4.9479452054793045,0.6764022900822442,0.6160264349324188,1.649315068493199,1.649315068493199,1.292428725014663,3.6555164804649345,0.5239942643074594,0.42050389554344986,3.5908077722004466,0,1.4742210895672654,3.5908077722004466,5.240122840693616,2.4187192494181695,0,-11.738889720340474,0,0,0.015479876160990714,0.0423728813559322,0,3.469446951953614e-18,0,8.954642582992278e-15,0,4.770895479920764,0.01213226686973358,0.10696458080778996,38,3612,3650,0,0,0,carbon_starvation
7,PASS,0,OK,1,1,1,0,0.5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,0.10061878568204334,0.08756091361824549,6.072662346498029,22.510942250245066,13.009637963818031,0,6.260842045798317,28.77178429604338,28.77178429604338,-5.539157954201683,-3.5282157039566187,0,0,0.49999999999999994,0,0,0,0,0,0,0,1.12305311064669,0.9763328088174464,3.9397720347375502,0,1.4288297844925546,3.9397720347375502,3.9397720347375502,3.528215703956701,0.013057872063797854,-13.729592467961986,0,0,0.015479876160990714,0.0423728813559322,0,3.469446951953614e-18,0,9.679756995950584e-15,0.08756091361824549,6.260842045798317,0.01216937146219886,0.08844252360099603,42,0,3650,0,0,0,living_biomass_decline
8,PASS,0,OK,1,1,1,0.5,0.5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,0.975910341864288,0.9757103101102708,6.213218342634836,22.544202119067663,13.025421845398167,0,8.164838994609395,30.70904111367706,30.70904111367706,-3.6351610053906054,-1.5909588863229374,4.9999999999998375,4.9999999999998375,5.499999999999693,0,0,0,0,0,0,0,2.6174930659137496,2.5438969402434006,3.97377099923342,0,1.4295688801658128,3.97377099923342,3.97377099923342,6.590958886322967,2.0003175401717144e-4,-3.5533022178346876,0,0,0.015479876160990714,0.0423728813559322,1.0999999999999743,3.469446951953614e-18,0,1.1201976846120232e-14,0.8,8.164838994609395,0.012215805141223349,0.0808696379889143,3650,0,3650,0,0,0,living_biomass_decline
9,PASS,0,OK,1,1,1,3.5,0.5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,3.574631981504427,3.574631981504427,19.025734144668252,25.71996267208205,14.22957952252088,0,26.174998107677105,51.89496077975916,51.89496077975916,14.374998107677104,19.594960779759163,34.99999999999976,34.99999999999976,35.499999999999865,0,0,0,0,0,0,0,6.961224519535288,6.947176293551506,7.216601079235941,0,1.4966384071539027,7.216601079235941,7.216601079235941,15.405039220240722,0,0.10981546593884416,0,0,0.03321557968085585,0.07672926764431584,1.0142857142857171,3.469446951953614e-18,0,1.6503291788705354e-14,0.8,11.8,0.013358291205902453,0.0808696379889143,3650,0,3650,0,0,0,plausible_or_positive_growth
10,PASS,0,OK,1,1,1,8,0.5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,4.337695703393523,4.337695703393523,23.47321736841296,26.103743370271033,14.524386321030876,37.94885121490786,32.1486087752,58.25235214547104,96.2012033603789,20.3486087752,63.9012033603789,79.99999999999739,79.99999999999739,42.55114878509447,0,0,0,0,0,0,0,7.306092229754989,7.292284917810359,7.60416286232911,0,1.500419492058064,7.60416286232911,7.60416286232911,16.098796639623455,0,0.33636270564290527,0.3944737684075306,1.180419702770537,0.3979821055325305,1.2562767091775977,0.5318893598136981,3.469446951953614e-18,0,2.5354718324877012e-14,0.8,11.8,0.017322617547085476,0.0808696379889143,3650,0,3650,3574,3097,2268,excessive_storage
11,PASS,0,OK,1,1,1,-0.5,5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,36.8,0,0,5.460864151752068,23.97740883276768,13.086523144567185,0,5.460864151752068,29.43827298451975,29.43827298451975,-6.339135848247933,-7.361727015480248,-4.9999999999998375,0,4.383561643835632,4.383561643835631,0.9470296556685094,0.9470290407819228,1.4611872146119136,1.4611872146119136,1.894058696450432,2.4895029473853088,1.6946188107284386,1.68080961787126,3.9920231524216927,0,1.4758015342673896,3.9920231524216927,5.4532103670335585,4.8512299628671105,0,-13.353252878982753,0,0,0.13586956521739132,0.423728813559322,0,3.469446951953614e-18,0,1.4948112192492147e-14,0,5.460864151752068,0.0136089211873512,0.09763896641468203,450,3200,3650,292,0,0,carbon_starvation
12,PASS,0,OK,1,1,1,0,5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,36.8,0.25089149638262304,0.2508914762594877,6.848199144404068,22.93830767981787,13.117338530799843,0,7.34998211704618,30.28828979686405,30.28828979686405,-4.450017882953821,-6.511710203135948,0,0,5,0,0,0,0,0,0,0,2.5413600618328074,2.527552602429191,4.381105218691792,0,1.442797538873883,4.381105218691792,4.381105218691792,6.5117102031359035,2.012313532473442e-8,-13.695615759897455,0,0,0.13586956521739132,0.423728813559322,0,3.469446951953614e-18,0,1.3102800094921818e-14,0.2508914762594877,7.349982117046179,0.0136089211873512,0.0808696379889143,528,0,3650,345,0,0,living_biomass_decline
13,PASS,0,OK,1,1,1,0.5,5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,36.8,1.102766292695033,1.1027662926927166,7.358089657837442,23.14814899531757,13.180125470933032,0,9.563622243225192,32.71177123854275,32.71177123854275,-2.236377756774811,-4.088228761457245,4.9999999999998375,4.9999999999998375,9.999999999998801,0,0,0,0,0,0,0,3.826675519197588,3.8128682066967583,4.596834030880455,0,1.448685035562902,4.596834030880455,4.596834030880455,9.088228761457254,2.3163693185779266e-12,-4.631495500660238,0,0,0.13586956521739132,0.423728813559322,1.9999999999998253,3.469446951953614e-18,0,1.3141831373131296e-14,0.8,9.56362224322519,0.0136089211873512,0.0808696379889143,3650,0,3650,417,0,0,living_biomass_decline
14,PASS,0,OK,1,1,1,3.5,5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,36.8,4.017489867662254,4.017489867662254,21.688278338123045,26.060584579127088,14.415656281949934,0,29.723258073447553,55.78384265257464,55.78384265257464,17.923258073447553,18.983842652574644,34.99999999999976,34.99999999999976,40.000000000000654,0,0,0,0,0,0,0,7.264819405579838,7.25101209363521,7.560910427337078,0,1.5003258482100077,7.560910427337078,7.560910427337078,16.016157347425136,0,0.06604831182620785,0,0,0.13586956521739132,0.423728813559322,1.1428571428571694,3.469446951953614e-18,0,1.901343665844379e-14,0.8,11.8,0.015793992508972683,0.0808696379889143,3650,0,3650,2792,0,0,plausible_or_positive_growth
15,PASS,0,OK,1,1,1,8,5,30,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,36.8,4.337695703393523,4.337695703393523,23.47321736841296,26.103743370271033,14.524386321030876,42.44885121490822,32.1486087752,58.25235214547104,100.70120336037924,20.3486087752,63.901203360379256,79.99999999999739,79.99999999999739,42.55114878509447,0,0,0,0,0,0,0,7.306092229754989,7.292284917810359,7.60416286232911,0,1.500419492058064,7.60416286232911,7.60416286232911,16.098796639623455,0,0.33636270564290527,0.42153271061713704,1.3203946556982584,0.427221108120189,1.4363795089123947,0.5318893598136981,3.469446951953614e-18,0,2.5316554408405523e-14,0.8,11.8,0.017322617547085476,0.0808696379889143,3650,0,3650,3650,3451,2798,excessive_storage
