scenario_id,day,year,trait_case,state_case,background_mode,npp_rate,initial_storage,allometric_adjustment_days,max_allocation_fraction,leaf,root,sapwood,heartwood,height,storage,npp_daily,storage_after_npp_unclamped,unmet_storage_deficit,carbon_to_allocate,total_demand_daily,leaf_demand_daily,root_demand_daily,sapwood_demand_daily,delta_leaf,delta_root,delta_sapwood,leaf_starvation_loss,root_starvation_loss,sapwood_starvation_loss,sapwood_to_heartwood,starvation_carbon_loss,unpaid_carbon_deficit,leaf_turnover_loss,root_turnover_loss,sapwood_turnover_loss,storage_turnover_loss,heartwood_turnover_loss,sapwood_to_heartwood_turnover,total_sapwood_to_heartwood,turnover_carbon_loss,storage_fraction,leaf_root_residual,pipe_residual,structural_balance_error,storage_balance_error,whole_plant_balance_error
331,30,0.82191780821917804E-1,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.96610067052076587,0.96610067052076587,4.7066056978008781,20.022144196917868,12.638113297089443,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.28172462393985321E-2,0.97869552630705384E-3,0.97869552630705384E-3,0.85985518678442449E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.66216632660779013E-3,0.66216632660779013E-3,0.64482883926577316E-3,0.0000000000000000,0.36569616555697095E-3,0.64482883926577316E-3,0.11014498438319832E-2,0.16900288187725512E-2,0.0000000000000000,0.0000000000000000,-0.32402823650465251,0.0000000000000000,0.0000000000000000,0.38437135418956103E-14
331,60,0.16438356164383561,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.93289102872054486,0.93289102872054486,4.6736322705141129,20.044140503848418,12.636991083222025,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.29431206001658944E-2,0.10446443911485857E-2,0.10446443911485857E-2,0.85383181786872293E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.63940440625123024E-3,0.63940440625123024E-3,0.64031131257899900E-3,0.0000000000000000,0.36609801443927446E-3,0.64031131257899900E-3,0.10969323171452091E-2,0.16449068269417349E-2,0.0000000000000000,0.0000000000000000,-0.64010532764236139,0.0000000000000000,0.0000000000000000,0.48476847536171874E-14
331,90,0.24657534246575341,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.90035704278508322,0.90035704278508322,4.6407940816483775,20.065989558614330,12.635867241740142,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.30655154542075375E-2,0.11088411503944367E-2,0.11088411503944367E-2,0.84783315341866393E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.61710558107270954E-3,0.61710558107270954E-3,0.63581231424145472E-3,0.0000000000000000,0.36649717339677602E-3,0.63581231424145472E-3,0.10924333188076648E-2,0.16007083355421951E-2,0.0000000000000000,0.0000000000000000,-0.94840390690279186,0.0000000000000000,0.0000000000000000,0.11709383462843448E-15
331,120,0.32876712328767121,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.86848496637979788,0.86848496637979788,4.6080905765318638,20.087691996405201,12.634741779251366,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.31845052492718096E-2,0.11713230785806820E-2,0.11713230785806820E-2,0.84185909211044571E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.59526042932131452E-3,0.59526042932131452E-3,0.63133176826029095E-3,0.0000000000000000,0.36689365403271186E-3,0.63133176826029095E-3,0.10879527728265010E-2,0.15574145126753410E-2,0.0000000000000000,0.0000000000000000,-1.2490875755363593,0.0000000000000000,0.0000000000000000,0.30904098724526818E-14
331,150,0.41095890410958902,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.83726133284164272,0.83726133284164272,4.5755212027677112,20.109248449788286,12.633614702335535,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.33001629035141690E-2,0.12321266852391639E-2,0.12321266852391639E-2,0.83590953303584140E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.57385972093327122E-3,0.57385972093327122E-3,0.62686959895433779E-3,0.0000000000000000,0.36728746790241532E-3,0.62686959895433779E-3,0.10834906035205479E-2,0.15150069097689578E-2,0.0000000000000000,0.0000000000000000,-1.5423165844642988,0.0000000000000000,0.0000000000000000,0.15664552988070568E-14
331,180,0.49315068493150682,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.80667294948914348,0.80667294948914348,4.5430854102246911,20.130659548719347,12.632486017544897,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.34125598366792085E-2,0.12912877304893566E-2,0.12912877304893566E-2,0.82998437570049499E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.55289441363203808E-3,0.55289441363203808E-3,0.62242573095282791E-3,0.0000000000000000,0.36767862651351433E-3,0.62242573095282791E-3,0.10790467355190380E-2,0.14734674537775906E-2,0.0000000000000000,0.0000000000000000,-1.8282479025327252,0.0000000000000000,0.0000000000000000,0.24780524854328689E-14
331,210,0.57534246575342463,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.77670689204819643,0.77670689204819643,4.5107826510278910,20.151925920553293,12.631355731404215,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.35217660006479599E-2,0.13488412403128704E-2,0.13488412403128704E-2,0.82408352002221927E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.53235564910774258E-3,0.53235564910774258E-3,0.61800008919412122E-3,0.0000000000000000,0.36806714132612655E-3,0.61800008919412122E-3,0.10746210937603313E-2,0.14327784395416117E-2,0.0000000000000000,0.0000000000000000,-2.1070352833776198,0.0000000000000000,0.0000000000000000,0.87343327015432237E-15
331,240,0.65753424657534243,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.74735049919127294,0.74735049919127294,4.4786123795494808,20.173048190054892,12.630223850410905,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.36278499093635162E-2,0.14048215215171020E-2,0.14048215215171020E-2,0.81820686632931236E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.51223474927434740E-3,0.51223474927434740E-3,0.61359259892443906E-3,0.0000000000000000,0.36845302375305435E-3,0.61359259892443906E-3,0.10702136034906491E-2,0.13929225223017492E-2,0.0000000000000000,0.0000000000000000,-2.3788293309291273,0.0000000000000000,0.0000000000000000,-0.22252165388092493E-14
331,270,0.73972602739726023,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.71859136718772676,0.71859136718772676,4.4465740523994839,20.194026979409404,12.629090381035166,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.37308786681474648E-2,0.14592621763943035E-2,0.14592621763943035E-2,0.81235431535885778E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.49252321260296553E-3,0.49252321260296553E-3,0.60920318569660013E-3,0.0000000000000000,0.36883628515997928E-3,0.60920318569660013E-3,0.10658241902628102E-2,0.13538827103659105E-2,0.0000000000000000,0.0000000000000000,-2.6437775635826579,0.0000000000000000,0.0000000000000000,0.33575572877531101E-14
331,300,0.82191780821917804,1,2,1,-0.50000000000000000,0.0000000000000000,365.00000000000000,0.50000000000000001E-2,0.69041734466294247,0.69041734466294247,4.4146671284166024,20.214862908233183,12.627955329720095,0.0000000000000000,-0.13698630136986301E-2,-0.13698630136986301E-2,0.13698630136986301E-2,0.0000000000000000,0.38309180024196847E-2,0.15121961170823047E-2,0.15121961170823047E-2,0.80652576825507522E-3,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.45662100456621003E-3,0.91324200913242006E-3,0.45662100456621009E-3,0.47321271052977551E-3,0.47321271052977551E-3,0.60483177536876313E-3,0.0000000000000000,0.36921693686565619E-3,0.60483177536876313E-3,0.10614527799349732E-2,0.13156423579252072E-2,0.0000000000000000,0.0000000000000000,-2.9020244770641241,0.0000000000000000,0.0000000000000000,0.10334615108131828E-14
