"normalization","scenario","variable","bp1_run_time","bp2_run_time","bp3_run_time","bp4_run_time","bp1_run_year","bp2_run_year","bp3_run_year","bp4_run_year","mag1","mag2","mag3","mag4","mag5","mag6","mag7","mag8","mag9","mag10","mag11","mag12","slope1","slope2","slope3","slope4","slope5"
"scenario_wise","regclim","npp",30.0833333333333,NA,NA,NA,30,NA,NA,NA,0.685479103083378,0.553326407202889,-0.132152695880489,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009479075434032,0.0144441408993702,NA,NA,NA
"scenario_wise","regclim","ctotal",13.9166666666667,19.5833333333333,31.3333333333333,NA,13,19,31,NA,0.240029014045705,0.163376768336596,0.445398270837029,0.379346213213973,0.173642671069324,0.32294457353086,0.139317199168268,0.0102659027327284,-0.12245369730617,NA,NA,NA,0.00604964189232291,-0.0386810946049031,0.0232933371229461,0.0110580135646097,NA
"scenario_wise","regclim","evapm",19.3333333333333,NA,NA,NA,19,NA,NA,NA,0.489043173948218,0.400493822609136,-0.088549351339082,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000146245131507032,0.0113874511366684,NA,NA,NA
"scenario_wise","y8","npp",24.9166666666667,30.5833333333333,NA,NA,24,30,NA,NA,0.822551514192638,0.774678223875731,0.600509700325787,0.516763851546719,-0.222041813866851,-0.257914372329012,NA,NA,NA,NA,NA,NA,0.000893607013549288,0.0311943624268558,-0.0438316762953259,NA,NA
"scenario_wise","y8","ctotal",27,NA,NA,NA,27,NA,NA,NA,0.514430094494873,0.648124103814969,0.133694009320096,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042910045739509,-0.0382398581635809,NA,NA,NA
"scenario_wise","y8","evapm",31.5,NA,NA,NA,31,NA,NA,NA,0.527333904879953,0.386380526719467,-0.140953378160486,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0046052419631138,-0.0279705768720381,NA,NA,NA
"scenario_wise","y6","npp",16.75,24.75,30.4166666666667,NA,16,24,30,NA,0.815327517165027,0.572325955408515,0.517964149740913,0.877698703992599,0.266271552233799,0.228855699003973,0.062371186827572,-0.306054403174716,-0.28910845073694,NA,NA,NA,-0.00143184455070906,-0.0385733998211471,0.0450792711953038,0.00018703985029442,NA
"scenario_wise","y6","ctotal",25,30.8333333333333,NA,NA,25,30,NA,NA,0.783360712773864,0.734625903675638,0.502297307871912,0.352105046158961,-0.281063404901952,-0.382520857516677,NA,NA,NA,NA,NA,NA,0.00793062260883288,0.0404049731832571,-0.0183676162441354,NA,NA
"scenario_wise","y6","evapm",11.5,24.75,30.4166666666667,NA,11,24,30,NA,0.633050583161418,0.51902472513109,0.438635581992283,0.719020043324229,0.341227176857277,0.254854440904766,0.0859694601628113,-0.177797548273813,-0.183781141087517,NA,NA,NA,-0.00705321764850455,-0.0151895178374535,0.01744628151672,-0.00762170626103383,NA
"scenario_wise","y4","npp",12.75,18.4166666666667,31.0833333333333,NA,12,18,31,NA,0.860226549682681,0.502811497640007,0.218296510687494,0.645040171801851,0.38675383737671,0.467232520127289,-0.21518637788083,-0.116057660263297,0.248936009439796,NA,NA,NA,-0.000138123154876784,-0.0254737923871968,-0.0133873372203351,-0.0232643383557795,NA
"scenario_wise","y4","ctotal",13.9166666666667,20,25.75,31.4166666666667,13,20,25,31,0.772744598097231,0.450276910812029,0.211866467395892,0.300381850681471,0.952672390080299,0.647072131632967,0.195165131161687,0.54382425853518,0.179927791983068,0.196795220820938,-0.0167013362342049,0.243442407853709,0.00717563473339916,-0.0837325798780449,-0.0768009995712497,0.0188447855856334,-0.052376323494884
"scenario_wise","y4","evapm",13.0833333333333,30.5833333333333,NA,NA,13,30,NA,NA,0.78715132133666,0.499172717389761,0.715498783110959,0.145147820061797,-0.0716525382257012,-0.354024897327965,NA,NA,NA,NA,NA,NA,-0.0021755056009799,-0.0124206353524133,-0.0116538296155446,NA,NA
"scenario_wise","y2","npp",8.58333333333333,13.5,20.25,NA,8,13,20,NA,0.861545712492163,0.275236519862818,0.229890797323734,0.689312084364509,0.351138174562366,0.591648634312934,-0.172233628127654,0.0759016546995479,0.3617578369892,NA,NA,NA,-0.00256426591090533,-0.0856708064486264,-0.0181871065857947,-0.0667984056952478,NA
"scenario_wise","y2","ctotal",9.16666666666667,13.9166666666667,20.5,NA,9,13,20,NA,0.895806140196844,0.549918491022163,0.457811963983972,0.990246415932716,0.623798477273745,0.846692044282032,0.0944402757358727,0.0738799862515822,0.38888008029806,NA,NA,NA,0.00216181528434666,-0.0943559839094042,-0.0255363866599652,-0.0776430028939611,NA
"scenario_wise","y2","evapm",8.83333333333333,14,19.25,23.4166666666667,8,14,19,23,0.830282518021475,0.639859167746795,0.453768181854455,0.228171411121858,0.796315059800749,0.70197942145539,0.241016843504044,0.193878931165176,-0.0339674582207259,0.0621202537085951,-0.212751338350411,-0.0342924799566814,-0.00580001591227684,-0.0307782082729091,-0.0480408850840518,-0.0031458201752296,-0.0270121093318289
